name;description;isPartOfCourseraPlus;subtitleLanguages;productDifficultyLevels;audiences;enrollments;partners;languages;numProductRatings;allLanguageCodes;avgProductRatings;skills
Python Programming Essentials;This course will introduce you to the wonderful world of Python programming!  We'll learn about the essential elements of programming and how to construct basic Python programs. We will cover expressions, variables, functions, logic, and conditionals, which are foundational concepts in computer programming. We will also teach you how to use Python modules, which enable you to benefit from the vast array of functionality that is already a part of the Python language. These concepts and skills will help you to begin to think like a computer programmer and to understand how to go about writing Python programs.;True;['Arabic', 'French', 'Portuguese (Portugal)', 'Chinese (China)', 'Italian', 'Vietnamese', 'Korean', 'German', 'Russian', 'Spanish'];Beginner;;72366;['Rice University'];English;3016;['ar', 'fr', 'pt', 'zh', 'it', 'vi', 'ko', 'de', 'ru', 'es', 'en'];4.77287798408488;['Statistical Programming', 'Semantics', 'Syntax', 'Computer Programming', 'Mathematics', 'Python Syntax And Semantics', 'Python Programming']
用Python玩转数据 Data Processing Using Python;本课程 (Please click https://www.coursera.org/learn/python-data-processing for English version) 主要面向非计算机专业学生，从Python基本语法开始，到Python中如何从本地和网络上进行数据获取，如何解析和表示数据，再到如何利用Python开源生态系统SciPy对数据进行基础和高级的统计分析及可视化，包括数据探索和预处理的具体方法，到最后如何设计一个简单的GUI界面来表示和处理数据，层层推进。;True;[];Mixed;;80042;['Nanjing University'];Chinese (China);1491;['zh'];4.657276995305164;['Statistical Programming', 'Big Data', 'Computer Programming', 'Data Analysis', 'Data Management', 'Python Programming']
Introduction to Data Science in Python;This course will introduce the learner to the basics of the python programming environment, including fundamental python programming techniques such as lambdas, reading and manipulating csv files, and the numpy library. The course will introduce data manipulation and cleaning techniques using the popular python pandas data science library and introduce the abstraction of the Series and DataFrame as the central data structures for data analysis, along with tutorials on how to use functions such as groupby, merge, and pivot tables effectively. By the end of this course, students will be able to take tabular data, clean it, manipulate it, and run basic inferential statistical analyses. ;True;['Arabic', 'French', 'Portuguese (Portugal)', 'Italian', 'Portuguese (Brazil)', 'Vietnamese', 'German', 'Russian', 'Spanish'];Intermediate;;632529;['University of Michigan'];English;24809;['ar', 'fr', 'pt', 'it', 'vi', 'de', 'ru', 'es', 'en'];4.509653754685799;['Analysis', 'Pandas', 'Statistical Programming', 'Mathematical Theory & Analysis', 'Mathematics', 'Programming Principles', 'Theoretical Computer Science', 'Computational Logic', 'Extract, Transform, Load', 'Data Analysis', 'Data Management', 'Numpy', 'Computer Programming', 'Python Programming']
Learn to Program: The Fundamentals;Behind every mouse click and touch-screen tap, there is a computer program that makes things happen. This course introduces the fundamental building blocks of programming and teaches you how to write fun and useful programs using the Python language.;True;['Arabic', 'French', 'Portuguese (Portugal)', 'Italian', 'Vietnamese', 'German', 'Russian', 'Spanish', 'Kazakh', 'Persian'];Beginner;;263219;['University of Toronto'];English;5195;['ar', 'fr', 'pt', 'it', 'vi', 'de', 'ru', 'es', 'kk', 'fa', 'en'];4.741289701636188;['Statistical Programming', 'Leadership and Management', 'Entrepreneurship', 'Semantics', 'Problem Solving', 'Strategy and Operations', 'Business Analysis', 'Critical Thinking', 'Research and Design', 'Syntax', 'Python Syntax And Semantics', 'Computer Programming', 'Language', 'Python Programming']
Advanced Algorithms and Complexity;You've learned the basic algorithms now and are ready to step into the area of more complex problems and algorithms to solve them. Advanced algorithms build upon basic ones and use new ideas. We will start with networks flows which are used in more typical applications such as optimal matchings, finding disjoint paths and flight scheduling as well as more surprising ones like image segmentation in computer vision. We then proceed to linear programming with applications in optimizing budget allocation, portfolio optimization, finding the cheapest diet satisfying all requirements and many others. Next we discuss inherently hard problems for which no exact good solutions are known (and not likely to be found) and how to solve them in practice. We finish with a soft introduction to streaming algorithms that are heavily used in Big Data processing. Such algorithms are usually designed to be able to process huge datasets without being able even to store a dataset.;True;['Arabic', 'French', 'Portuguese (Portugal)', 'Italian', 'Vietnamese', 'German', 'Russian', 'Spanish'];Advanced;;67434;['University of California San Diego', 'HSE University'];English;614;['ar', 'fr', 'pt', 'it', 'vi', 'de', 'ru', 'es', 'en'];4.571661237785016;['Linear Programming', 'Research and Design', 'Mathematical Theory & Analysis', 'Theoretical Computer Science', 'Maximum Flow Problem', 'Mathematics', 'Operations Research', 'Strategy and Operations', 'Algorithms', 'Flow Network', 'Np-Completeness', 'Linearity']
Introdução à Ciência da Computação com Python Parte 1;Bem vindo ao curso de Introdução à Ciência da Computação destinado aos alunos regulares da Universidade de São Paulo e a todos os demais interessados em aprender não só a programar em Python mas também os conceitos básicos da Ciência da Computação!;True;[];Beginner;;173728;['Universidade de São Paulo'];Portuguese (Brazil);5638;['pt'];4.888790351188365;['Statistical Programming', 'Computational Logic', 'Mathematics', 'Algorithms', 'Semantics', 'Mathematical Theory & Analysis', 'Logic', 'Python Syntax And Semantics', 'Syntax', 'Python Programming', 'Computer Programming', 'Theoretical Computer Science']
Computational Thinking for Problem Solving;Computational thinking is the process of approaching a problem in a systematic manner and creating and expressing a solution such that it can be carried out by a computer.  But you don't need to be a computer scientist to think like a computer scientist!  In fact, we encourage students from any field of study to take this course.  Many quantitative and data-centric problems can be solved using computational thinking and an understanding of computational thinking will give you a foundation for solving problems that have real-world, social impact.   ;True;['Arabic', 'French', 'Portuguese (Portugal)', 'Italian', 'Vietnamese', 'German', 'Russian', 'Spanish'];Beginner;;69471;['University of Pennsylvania'];English;1050;['ar', 'fr', 'pt', 'it', 'vi', 'de', 'ru', 'es', 'en'];4.683809523809524;['Machine Learning', 'Statistical Programming', 'Theoretical Computer Science', 'Inventory Management', 'Programming Principles', 'Applied Machine Learning', 'Computational Thinking', 'Algorithms', 'Python Programming', 'Computer Programming', 'Supply Chain and Logistics', 'Pseudocode', 'Microarchitecture', 'Computer Architecture']
Python Data Structures;This course will introduce the core data structures of the Python programming language. We will move past the basics of procedural programming and explore how we can use the Python built-in data structures such as lists, dictionaries, and tuples to perform increasingly complex data analysis. This course will cover Chapters 6-10 of the textbook “Python for Everybody”.  This course covers Python 3.;True;['Arabic', 'French', 'Portuguese (Portugal)', 'Chinese (China)', 'Italian', 'Vietnamese', 'Korean', 'German', 'Russian', 'Spanish'];Mixed;;801001;['University of Michigan'];English;86760;['ar', 'fr', 'pt', 'zh', 'it', 'vi', 'ko', 'de', 'ru', 'es', 'en'];4.860016136468419;['Statistical Programming', 'Theoretical Computer Science', 'Python Programming', 'Computer Programming', 'Data Structures', 'Data Management']
Databases and SQL for Data Science with Python;Much of the world's data resides in databases. SQL (or Structured Query Language) is a powerful language which is used for communicating with and extracting data from databases. A working knowledge of databases and SQL is a must if you want to become a data scientist.;False;['Arabic', 'Persian'];Beginner;;218336;['IBM'];English;14071;['ar', 'fa', 'en'];4.649065453770166;['Statistical Programming', 'SQL', 'Databases', 'Python Programming', 'Data Management', 'Database Application', 'Database Administration', 'Computer Programming']
Python Project for Data Science;This mini-course is intended to for you to demonstrate foundational Python skills for working with data. The completion of this course involves working on a hands-on project where you will develop a simple dashboard using Python.;False;[];Intermediate;;39723;['IBM'];English;1270;['en'];4.507086614173228;['Python Programming', 'Web Scraping', 'Web', 'Statistical Programming', 'Extract, Transform, Load', 'Data Management', 'Computer Programming']
Data Analysis with Python;Learn how to analyze data using Python. This course will take you from the basics of Python to exploring many different types of data. You will learn how to prepare data for analysis, perform simple statistical analysis, create meaningful data visualizations, predict future trends from data, and more!;False;['Arabic', 'French', 'Portuguese (Portugal)', 'Italian', 'Vietnamese', 'German', 'Russian', 'Turkish', 'Spanish', 'Persian'];Beginner;;211752;['IBM'];English;14162;['ar', 'fr', 'pt', 'it', 'vi', 'de', 'ru', 'tr', 'es', 'fa', 'en'];4.678505860754131;['Statistical Analysis', 'Econometrics', 'Mathematical Theory & Analysis', 'Algebra', 'Computer Programming Tools', 'Extract, Transform, Load', 'Data Analysis', 'Regression', 'Modeling', 'Exploratory Data Analysis', 'Statistical Machine Learning', 'Correlation And Dependence', 'Business Analysis', 'Machine Learning', 'Data Management', 'Statistical Programming', 'Python Programming', 'Probability & Statistics', 'Analysis', 'Spreadsheet Software', 'General Statistics', 'Data Mining', 'Computer Programming']
Using Python to Interact with the Operating System;By the end of this course, you’ll be able to manipulate files and processes on your computer’s operating system. You’ll also have learned about regular expressions -- a very powerful tool for processing text files -- and you’ll get practice using the Linux command line on a virtual machine. And, this might feel like a stretch right now, but you’ll also write a program that processes a bunch of errors in an actual log file and then generates a summary file. That’s a super useful skill for IT Specialists to know.;True;['Arabic', 'French', 'Portuguese (Portugal)', 'Italian', 'Vietnamese', 'German', 'Russian', 'Spanish'];Beginner;;111405;['Google'];English;4006;['ar', 'fr', 'pt', 'it', 'vi', 'de', 'ru', 'es', 'en'];4.690963554667998;['Unix Shells', 'Statistical Programming', 'Unix', 'Python Programming', 'Software Testing', 'Software Engineering', 'Regular Expression', 'Bash (Unix Shell)', 'Other Programming Languages', 'Operating Systems', 'Computer Programming']
Using Python to Access Web Data;This course will show how one can treat the Internet as a source of data.  We will scrape, parse, and read web data as well as access data using web APIs.  We will work with HTML, XML, and JSON data formats in Python.  This course will cover Chapters 11-13 of the textbook “Python for Everybody”. To succeed in this course, you should be familiar with the material covered in Chapters 1-10 of the textbook and the first two courses in this specialization.  These topics include variables and expressions, conditional execution (loops, branching, and try/except), functions, Python data structures (strings, lists, dictionaries, and tuples), and manipulating files.  This course covers Python 3.;True;['Arabic', 'French', 'Portuguese (Portugal)', 'Italian', 'Vietnamese', 'Korean', 'German', 'Russian', 'Spanish'];Mixed;;527868;['University of Michigan'];English;41382;['ar', 'fr', 'pt', 'it', 'vi', 'ko', 'de', 'ru', 'es', 'en'];4.763182059832777;['Computer Networking', 'Web Api', 'Application Programming Interfaces', 'Json', 'Web', 'Web Development', 'Statistical Programming', 'Programming Principles', 'Xml', 'Computer Programming', 'Software Engineering', 'Extract, Transform, Load', 'Software Architecture', 'Mathematics', 'Computational Logic', 'Mathematical Theory & Analysis', 'Computer Programming Tools', 'Data Management', 'Python Programming', 'Javascript']
Data Visualization with Python;"A picture is worth a thousand words". We are all familiar with this expression. It especially applies when trying to explain the insight obtained from the analysis of increasingly large datasets. Data visualization plays an essential role in the representation of both small and large-scale data.;False;['Arabic', 'French', 'Portuguese (Portugal)', 'Italian', 'Vietnamese', 'German', 'Russian', 'Spanish', 'Persian'];Intermediate;;136223;['IBM'];English;9666;['ar', 'fr', 'pt', 'it', 'vi', 'de', 'ru', 'es', 'fa', 'en'];4.511483550589696;['Statistical Programming', 'Map', 'General Statistics', 'Data Visualization', 'Statistical Visualization', 'Plot (Graphics)', 'Chart', 'Python Programming', 'Computer Programming', 'Probability & Statistics', 'Matplotlib']
Математика и Python для анализа данных;Анализ данных и машинное обучение существенно опираются на результаты из математического анализа, линейной алгебры, методов оптимизации, теории вероятностей. Без фундаментальных знаний по этим наукам невозможно понимать, как устроены методы анализа данных. Задача этого курса — сформировать такой фундамент. Мы обойдёмся без сложных формул и доказательств и сделаем упор на интерпретации и понимании смысла математических понятий и объектов. ;True;[];Beginner;;90013;['Moscow Institute of Physics and Technology', 'Yandex', 'E-Learning Development Fund'];Russian;5603;['ru'];4.790647867213993;['Linearity', 'Matplotlib', 'Mathematical Theory & Analysis', 'Machine Learning', 'Statistical Programming', 'Mathematics', 'Linear Algebra', 'Numpy', 'Scipy', 'Algebra', 'Python Programming', 'Computer Programming', 'Probability & Statistics']
Introduction to Portfolio Construction and Analysis with Python;The practice of investment management has been transformed in recent years by computational methods. This course provides an introduction to the underlying science, with the aim of giving you a thorough understanding of that scientific basis. However, instead of merely explaining the science, we help you build on that foundation in a practical manner, with an emphasis on the hands-on implementation of those ideas in the Python programming language. ;True;['Vietnamese', 'German', 'Russian', 'Spanish', 'Arabic', 'French', 'Portuguese (Portugal)', 'Italian'];Mixed;;40563;['EDHEC Business School'];English;1092;['vi', 'de', 'ru', 'es', 'ar', 'fr', 'pt', 'it', 'en'];4.823260073260073;['Probability & Statistics', 'Markov Model', 'Investment', 'Machine Learning', 'Portfolio (Finance)', 'Statistical Programming', 'Data Analysis', 'Accounting', 'Financial Analysis', 'Investment Management', 'Computer Programming', 'Python Programming', 'Finance', 'Business Analysis', 'Portfolio Construction']
Погружение в Python;Python – простой, гибкий и невероятно популярный язык, который используется практически во всех областях современной разработки. С его помощью можно создавать веб-приложения, писать игры, заниматься анализом данных, автоматизировать задачи системного администрирования и многое другое. “Погружение в Python” читают разработчики, применяющие Python в проектах, которыми ежедневно пользуются миллионы людей. Курс покрывает все необходимые для ежедневной работы программиста темы, а также рассказывает про многие особенности языка, которые часто опускают при его изучении.;True;[];Intermediate;;63696;['Moscow Institute of Physics and Technology', 'Mail.Ru Group', 'E-Learning Development Fund'];Russian;1575;['ru'];4.617142857142857;['Statistical Programming', 'Coroutine', 'Python Programming', 'Software Engineering', 'Semantics', 'Syntax', 'Computer Programming', 'Software Testing', 'Python Syntax And Semantics', 'Socket']
Using Databases with Python;This course will introduce students to the basics of the Structured Query Language (SQL) as well as basic database design for storing data as part of a multi-step data gathering, analysis, and processing effort.  The course will use SQLite3 as its database.  We will also build web crawlers and multi-step data gathering and visualization processes.  We will use the D3.js library to do basic data visualization.  This course will cover Chapters 14-15 of the book “Python for Everybody”. To succeed in this course, you should be familiar with the material covered in Chapters 1-13 of the textbook and the first three courses in this specialization. This course covers Python 3.;True;['Arabic', 'French', 'Portuguese (Portugal)', 'Italian', 'Vietnamese', 'Korean', 'German', 'Russian', 'Spanish'];Mixed;;394845;['University of Michigan'];English;20056;['ar', 'fr', 'pt', 'it', 'vi', 'ko', 'de', 'ru', 'es', 'en'];4.772437175907459;['Statistical Programming', 'Natural Language Processing', 'Databases', 'Programming Principles', 'SQL', 'Python Programming', 'Sqlite', 'Data Management', 'Database Administration', 'Database Application', 'Computer Programming']
Understanding and Visualizing Data with Python;In this course, learners will be introduced to the field of statistics, including where data come from, study design, data management, and exploring and visualizing data. Learners will identify different types of data, and learn how to visualize, analyze, and interpret summaries for both univariate and multivariate data. Learners will also be introduced to the differences between probability and non-probability sampling from larger populations, the idea of how sample estimates vary, and how inferences can be made about larger populations based on probability sampling.;True;['Arabic', 'French', 'Portuguese (Portugal)', 'Italian', 'Vietnamese', 'Korean', 'German', 'Russian', 'Spanish'];Beginner;;92340;['University of Michigan'];English;2130;['ar', 'fr', 'pt', 'it', 'vi', 'ko', 'de', 'ru', 'es', 'en'];4.673239436619719;['Statistical Programming', 'Data Visualization', 'Programming Principles', 'Computer Programming', 'Data Analysis', 'Statistical Visualization', 'Python Programming', 'Analysis', 'Probability & Statistics', 'General Statistics']
Foundations of Data Science: K-Means Clustering in Python;Organisations all around the world are using data to predict behaviours and extract valuable real-world insights to inform decisions. Managing and analysing big data has become an essential part of modern finance, retail, marketing, social science, development and research, medicine and government.;True;['Arabic', 'French', 'Portuguese (Portugal)', 'Italian', 'Vietnamese', 'German', 'Russian', 'Spanish'];Beginner;;22839;['University of London', 'Goldsmiths, University of London'];English;360;['ar', 'fr', 'pt', 'it', 'vi', 'de', 'ru', 'es', 'en'];4.669444444444444;['Machine Learning', 'Statistical Programming', 'Theoretical Computer Science', 'Computer Programming', 'Algorithms', 'General Statistics', 'Python Programming', 'Probability & Statistics', 'K-Means Clustering', 'Data Clustering Algorithms']
Python Project for Data Engineering;This mini-course is intended to apply foundational Python skills by implementing different techniques to collect and work with data. Assume the role of a Data Engineer and extract data from multiple file formats, transform it into specific datatypes, and then load it into a single source for analysis. Continue with the course and test your knowledge by implementing webscraping and extracting data with APIs all with the help of multiple hands-on labs. After completing this course you will have acquired the confidence to begin collecting large datasets from multiple sources and transform them into one primary source, or begin web scraping to gain valuable business insights all with the use of Python. ;False;[];Intermediate;;6130;['IBM'];English;104;['en'];4.605769230769231;['Statistical Programming', 'Extract, Transform, Load', 'Computer Programming', 'Python Programming', 'Data Management', 'Computer Programming Tools']
Python for Genomic Data Science;This class provides an introduction to the Python programming language and the iPython notebook. This is the third course in the Genomic Big Data Science Specialization from Johns Hopkins University.;True;['Arabic', 'French', 'Portuguese (Portugal)', 'Italian', 'Vietnamese', 'German', 'Russian', 'Spanish'];Mixed;;43401;['Johns Hopkins University'];English;1361;['ar', 'fr', 'pt', 'it', 'vi', 'de', 'ru', 'es', 'en'];4.292432035268186;['Probability & Statistics', 'Statistical Programming', 'Python Programming', 'Bioinformatics', 'Biopython', 'Computer Programming']
Capstone: Retrieving, Processing, and Visualizing Data with Python;In the capstone, students will build a series of applications to retrieve, process and visualize data using Python.   The projects will involve all the elements of the specialization.  In the first part of the capstone, students will do some visualizations to become familiar with the technologies in use and then will pursue their own project to visualize some other data that they have or can find.  Chapters 15 and 16 from the book “Python for Everybody” will serve as the backbone for the capstone. This course covers Python 3.;True;['Arabic', 'French', 'Portuguese (Portugal)', 'Italian', 'Vietnamese', 'Korean', 'German', 'Russian', 'Spanish'];Mixed;;209530;['University of Michigan'];English;11876;['ar', 'fr', 'pt', 'it', 'vi', 'ko', 'de', 'ru', 'es', 'en'];4.719602559784439;['Statistical Programming', 'Python Programming', 'Computer Programming']
Problem Solving, Python Programming, and Video Games;This course is an introduction to computer science and programming in Python.  Upon successful completion of this course, you will be able to:;True;['Arabic', 'French', 'Portuguese (Portugal)', 'Chinese (China)', 'Italian', 'Vietnamese', 'German', 'Russian', 'Spanish'];Beginner;;31893;['University of Alberta'];English;126;['ar', 'fr', 'pt', 'zh', 'it', 'vi', 'de', 'ru', 'es', 'en'];4.238095238095238;['Software Testing', 'Research and Design', 'Theoretical Computer Science', 'Entrepreneurship', 'Mathematical Theory & Analysis', 'Machine Learning', 'Application Development', 'Game Theory', 'Experiment', 'Leadership and Management', 'Computational Logic', 'Statistical Programming', 'Problem Solving', 'Mathematics', 'Probability & Statistics', 'Algorithms', 'Natural Language Processing', 'Programming Principles', 'Computer Programming', 'Product Design', 'Semantics', 'Design and Product', 'Software Engineering', 'Computer Programming Tools', 'Python Programming', 'Computer Program', 'Syntax']
Data Analysis Using Python;This course provides an introduction to basic data science techniques using Python.  Students are introduced to core concepts like Data Frames and joining data, and learn how to use data analysis libraries like pandas, numpy, and matplotlib.  This course provides an overview of loading, inspecting, and querying real-world data, and how to answer basic questions about that data.  Students will gain skills in data aggregation and summarization, as well as basic data visualization.;True;[];Beginner;;5038;['University of Pennsylvania'];English;111;['en'];4.558558558558558;['Statistical Programming', 'Data Analysis', 'Analysis', 'Computer Programming', 'Python Programming']
用 Python 做商管程式設計（一）(Programming for Business Computing in Python (1));本系列課程從零開始，教授一般認為最適合初學者的程式語言「Python」，目標是讓大家在完成本課程之後，一方面獲得程式設計與運算思維的基本概念，一方面也能獨立寫出能解決運算問題的程式。本課程和一般程式設計課程最不同的地方，在於它是以解決商管領域的運算問題為導向，因此課程不會只含有質因數分解、紅球白球排列組合、三角不等式、萬年曆、數字排序等傳統程式設計課程的範例與作業，而是包含了生產、物流、存貨、投資、定價等問題，讓大家在學會程式設計的同時，也直接體會程式設計與資訊技術在商管領域的各種應用。;True;[];Beginner;;24547;['National Taiwan University'];Chinese (Traditional);603;['zh'];4.938640132669984;['Statistical Programming', 'Computer Programming', 'Python Programming']
Applied Plotting, Charting & Data Representation in Python;This course will introduce the learner to information visualization basics, with a focus on reporting and charting using the matplotlib library. The course will start with a design and information literacy perspective, touching on what makes a good and bad visualization, and what statistical measures translate into in terms of visualizations. The second week will focus on the technology used to make visualizations in python, matplotlib, and introduce users to best practices when creating basic charts and how to realize design decisions in the framework. The third week will be a tutorial of functionality available in matplotlib, and demonstrate a variety of basic statistical charts helping learners to identify when a particular method is good for a particular problem. The course will end with a discussion of other forms of structuring and visualizing data. ;True;['Arabic', 'French', 'Portuguese (Portugal)', 'Italian', 'Vietnamese', 'Korean', 'German', 'Russian', 'Spanish'];Intermediate;;157019;['University of Michigan'];English;5855;['ar', 'fr', 'pt', 'it', 'vi', 'ko', 'de', 'ru', 'es', 'en'];4.521776259607173;['Statistical Programming', 'Data Visualization', 'Matplotlib', 'Computer Programming', 'Python Programming']
